8.172-001N199554.0,"05, 99",0,"EXCEEDED SPEED LIMIT ON CAPITOL/STATE GROUNDS SET BY THE COMMISSIONER OF ADMINISTRATION",I,N,N,N,I,8/28/1995, 
30.756-001Y202026    ._,"07, 99",0 1 2,"FALSE STATEMENT ON LOAN APPLICATION BY FARMING OPERATION, SMALL BUSINESS OR JOB ENHANCEMENT BUSINESS",M / A,N,N,N,M,8/28/2020, 
32.057-002Y20206199._,99,0 1 2,BREACH OF CONFIDENTIALITY REGARDING TAXES,F / E,C,N,N,F,8/28/2020, 
